latitude [_N],longitude [_E],year,year day,PAR [mol quanta m-2 d-1],SST [oC],MLD [m],daylength [hr],sfce chl. [mg m-3],IPP [g C m-2 d-1]
6.99,217.48,1989,135,29.15,28.12,70.95,12.32,0.29,0.490
7.10,219.85,1989,137,28.17,27.84,67.98,12.32,0.34,0.751
7.05,227.61,1989,139,31.80,27.74,51.60,12.32,0.22,0.300
8.96,219.72,1989,142,29.07,27.47,79.57,12.41,0.35,0.571
8.00,220.01,1989,142,29.07,27.47,74.49,12.37,0.42,0.520
7.02,219.86,1989,142,27.91,27.77,67.98,12.32,0.35,0.873
5.99,220.00,1989,142,27.91,27.77,54.27,12.27,0.17,0.286
4.00,220.00,1989,143,37.28,27.54,36.10,12.19,0.14,0.347
2.97,219.98,1989,144,35.65,27.34,37.03,12.14,0.15,0.359
2.01,219.99,1989,144,35.65,27.34,36.06,12.09,0.17,0.616
1.51,220.00,1989,145,26.36,26.54,30.95,12.07,0.19,0.458
1.00,220.00,1989,145,26.36,26.54,28.08,12.05,0.19,0.558
0.14,220.06,1989,146,22.62,26.54,24.19,12.01,0.32,0.386
-0.49,220.02,1989,147,31.76,26.14,26.54,11.98,0.30,0.386
-1.50,220.00,1989,147,31.76,26.14,39.14,11.93,0.35,0.440
-2.05,220.05,1989,147,31.95,26.67,49.64,11.90,0.22,0.210
-5.00,219.99,1989,148,40.40,27.14,61.84,11.77,0.17,0.426
-0.03,183.50,1989,167,34.23,27.34,28.46,12.00,0.27,0.604
-0.05,184.97,1989,168,27.48,27.32,28.52,12.00,0.41,0.389
-0.01,190.48,1989,170,37.06,27.04,32.66,12.00,0.30,0.466
-0.02,194.98,1989,171,32.49,27.04,32.92,12.00,0.39,0.551
0.01,199.99,1989,173,35.68,27.17,34.47,12.00,0.34,0.486
0.01,205.01,1989,174,29.15,26.77,32.29,12.00,0.37,0.520
-0.01,210.03,1989,175,35.21,26.27,24.86,12.00,0.34,0.382
10.00,250.70,1989,298,34.59,27.32,21.32,11.79,0.11,0.446
6.97,250.00,1989,299,27.30,27.22,34.95,11.85,0.20,0.270
4.95,249.98,1989,299,27.33,26.34,46.44,11.90,0.14,0.625
3.00,250.01,1989,300,33.18,24.84,44.93,11.94,0.26,0.691
0.99,250.00,1989,302,47.65,22.57,22.22,11.98,0.25,0.817
0.02,249.95,1989,304,43.85,22.47,14.97,12.00,0.33,0.599
-0.50,250.17,1989,304,47.44,22.17,13.95,12.01,0.28,0.845
-1.95,249.98,1989,305,40.58,22.74,19.31,12.09,0.23,0.591
-4.95,249.93,1989,306,43.73,23.24,48.53,12.22,0.13,0.627
-0.22,235.56,1989,310,46.90,23.94,22.75,12.01,0.24,0.592
7.00,219.82,1989,314,40.73,27.17,49.90,11.69,0.16,0.274
-2.99,220.00,1989,330,43.59,26.54,47.00,12.13,0.16,0.400
-2.01,219.89,1989,330,43.59,26.54,41.86,12.09,0.13,0.628
-0.99,219.99,1989,331,38.80,26.24,31.29,12.05,0.14,0.868
0.03,220.01,1989,332,40.08,26.54,24.94,12.00,0.21,0.802
0.99,220.01,1989,333,35.43,26.62,33.01,11.95,0.23,0.572
2.04,219.90,1989,333,32.78,27.24,42.63,11.91,0.16,0.412
2.99,219.99,1989,333,32.78,27.24,43.76,11.87,0.15,0.894
5.00,220.01,1989,334,33.18,27.62,43.85,11.78,0.17,0.648
7.02,212.53,1989,336,27.77,28.44,72.87,11.60,0.21,0.400
6.94,227.61,1989,340,27.19,27.14,49.08,11.61,0.23,0.501
8.97,219.77,1989,341,30.28,27.84,58.96,11.49,0.09,0.181
10.00,219.99,1989,342,29.92,26.74,64.20,11.43,0.08,0.155
14.00,255.03,1989,47,34.30,26.34,46.42,11.56,0.10,0.307
10.48,254.40,1989,48,36.99,27.84,49.44,11.67,0.40,0.652
8.02,253.57,1989,49,35.72,26.14,37.11,11.75,0.22,0.443
6.13,252.42,1989,50,36.84,25.84,28.35,11.81,0.20,0.305
4.00,251.17,1989,50,32.63,25.97,26.70,11.88,0.22,0.462
1.98,249.92,1989,51,40.54,25.89,18.84,11.94,0.14,0.553
0.92,249.98,1989,51,42.21,26.19,11.13,11.97,0.18,0.604
0.00,250.02,1989,52,37.64,25.77,10.00,12.00,0.25,0.579
-1.00,250.03,1989,52,37.39,25.77,10.02,12.03,0.16,0.399
-1.98,250.05,1989,52,41.46,25.92,11.02,12.06,0.22,0.554
-4.00,250.00,1989,53,38.65,26.32,17.93,12.12,0.11,0.389
-6.00,250.02,1989,54,43.23,26.52,30.03,12.18,0.11,0.294
-7.98,252.50,1989,54,44.39,25.92,40.65,12.24,0.12,0.350
-10.00,255.00,1989,55,35.65,25.84,53.72,12.31,0.15,0.420
-12.00,255.02,1989,56,39.45,25.44,65.08,12.37,0.20,0.490
-14.00,255.00,1989,56,42.76,25.04,68.82,12.44,0.14,0.377
-15.98,255.02,1989,57,50.41,24.64,61.51,12.50,0.18,0.221
-10.00,214.78,1989,98,30.28,28.54,54.28,11.76,0.30,0.299
-5.17,217.42,1989,99,34.49,27.74,40.45,11.88,0.10,0.224
0.00,219.85,1989,101,34.42,26.04,15.98,12.00,0.27,0.393
1.83,219.93,1989,101,34.42,26.07,26.35,12.04,0.17,0.332
12.23,219.90,1989,103,47.99,24.97,94.98,12.29,0.19,0.284
-2.00,220.00,1990,117,34.15,28.14,31.58,11.95,0.14,0.661
-1.00,220.00,1990,118,32.34,27.77,25.33,11.98,0.13,0.704
0.07,220.01,1990,119,31.44,27.84,21.10,12.00,0.17,0.893
1.00,219.98,1990,120,30.93,27.84,24.08,12.02,0.17,0.537
2.09,219.98,1990,121,35.43,28.24,34.40,12.10,0.16,0.766
3.00,220.00,1990,121,35.43,28.24,38.15,12.14,0.15,0.577
4.01,219.99,1990,121,43.15,28.24,39.59,12.19,0.11,0.542
5.05,219.99,1990,121,43.15,28.24,43.95,12.23,0.22,0.914
5.99,219.98,1990,122,30.09,28.04,50.06,12.27,0.22,0.813
7.08,219.80,1990,123,31.15,28.04,59.71,12.32,0.20,0.917
7.99,219.99,1990,124,29.51,27.57,64.36,12.36,0.25,0.750
8.94,219.82,1990,125,37.75,27.47,69.79,12.41,0.23,0.625
7.00,227.17,1990,127,37.86,27.92,46.12,12.32,0.24,0.805
0.69,235.00,1990,129,37.64,27.44,14.74,12.03,0.20,0.826
-2.16,241.63,1990,132,30.82,27.14,24.56,11.90,0.13,0.534
-4.00,249.52,1990,132,30.16,27.04,35.34,11.81,0.14,0.870
-2.99,249.10,1990,133,34.27,26.84,30.03,11.86,0.16,0.466
-2.06,248.68,1990,133,34.27,26.84,19.96,11.90,0.14,0.264
-1.00,249.35,1990,133,35.32,26.34,12.09,11.95,0.11,1.022
0.02,250.05,1990,134,38.65,26.84,10.30,12.00,0.20,0.781
1.00,249.90,1990,135,35.94,26.77,14.21,12.05,0.15,0.659
1.97,249.81,1990,135,35.36,28.27,22.96,12.09,0.18,0.901
4.00,249.95,1990,135,35.72,28.94,28.16,12.19,0.15,0.310
15.00,130.00,1990,156,40.61,29.02,28.26,12.87,0.05,0.216
14.02,129.98,1990,156,40.61,29.02,29.36,12.82,0.04,0.306
13.01,129.98,1990,157,33.55,29.34,29.86,12.75,0.05,0.179
12.02,130.01,1990,157,33.55,29.34,31.21,12.69,0.05,0.155
11.01,130.00,1990,157,34.95,29.84,31.56,12.64,0.04,0.247
10.10,130.04,1990,160,36.09,29.84,31.03,12.58,0.09,0.358
9.00,130.00,1990,160,29.48,30.04,32.20,12.51,0.07,0.337
8.04,127.07,1990,158,32.09,29.14,23.97,12.46,0.05,0.175
7.98,127.49,1990,159,26.75,29.14,23.97,12.45,0.05,0.217
8.00,128.00,1990,159,26.75,29.14,25.12,12.46,0.05,0.312
8.00,128.54,1990,159,23.34,30.04,27.10,12.46,0.07,0.154
7.99,128.98,1990,159,23.34,30.04,27.10,12.45,0.05,0.287
8.01,129.48,1990,159,23.34,30.04,29.98,12.46,0.10,0.303
8.00,130.00,1990,159,23.34,30.04,32.80,12.46,0.07,0.289
8.02,132.50,1990,160,25.78,29.44,34.24,12.46,0.06,0.524
8.03,135.00,1990,161,28.39,29.74,32.55,12.46,0.08,0.493
8.00,137.50,1990,161,30.42,29.74,33.71,12.46,0.05,0.191
0.01,139.48,1990,162,28.42,30.87,38.31,12.00,0.06,0.179
9.01,141.50,1990,162,26.24,29.47,33.01,12.51,0.09,0.304
8.00,141.52,1990,162,26.24,29.47,30.48,12.46,0.07,0.343
7.01,141.50,1990,167,26.46,29.94,29.84,12.40,0.05,0.214
6.01,141.54,1990,163,35.24,30.07,27.05,12.34,0.06,0.196
5.03,141.50,1990,163,36.69,30.07,26.72,12.29,0.05,0.222
4.00,141.52,1990,163,36.69,30.07,28.15,12.23,0.06,0.346
2.99,141.50,1990,163,33.55,29.74,30.04,12.17,0.06,0.375
2.49,141.50,1990,164,30.06,29.67,30.89,12.14,0.08,0.376
2.00,141.52,1990,164,30.06,29.67,31.48,12.11,0.07,0.300
1.49,141.51,1990,164,29.63,30.37,33.63,12.08,0.08,0.309
1.13,141.61,1990,164,31.15,29.87,34.28,12.06,0.08,0.300
0.49,141.52,1990,164,29.63,30.37,34.71,12.03,0.19,0.477
-0.01,141.51,1990,164,29.07,30.07,34.70,12.00,0.15,0.454
-1.01,141.50,1990,165,37.75,29.97,37.82,11.94,0.09,0.394
-1.49,141.50,1990,165,37.75,29.97,39.56,11.92,0.16,0.350
-2.00,141.49,1990,165,36.33,24.04,41.67,11.89,0.19,0.487
-0.01,145.01,1990,166,31.88,30.27,29.26,12.00,0.09,0.304
-0.01,147.53,1990,167,27.99,29.64,30.70,12.00,0.06,0.261
-0.01,150.01,1990,167,25.74,29.57,29.94,12.00,0.05,0.252
-0.01,152.52,1990,168,24.87,29.67,30.09,12.00,0.07,0.155
0.00,155.02,1990,168,23.92,30.07,33.68,12.00,0.07,0.338
0.00,157.50,1990,169,26.43,29.84,35.72,12.00,0.05,0.225
0.00,160.01,1990,169,27.96,29.87,34.00,12.00,0.05,0.267
-10.50,162.17,1990,176,22.76,28.24,60.37,11.39,0.28,0.827
-10.28,162.49,1990,176,21.09,28.44,60.01,11.41,0.21,0.641
-10.15,162.76,1990,176,21.09,28.44,60.01,11.41,0.20,0.560
-10.00,163.09,1990,176,21.09,28.44,60.72,11.42,0.12,0.201
-9.49,163.25,1990,176,20.19,28.94,58.57,11.46,0.11,0.504
-8.09,163.50,1990,176,20.19,28.94,55.22,11.54,0.26,0.797
-8.50,163.75,1990,177,24.76,28.94,56.35,11.52,0.07,0.298
-7.99,164.01,1990,177,24.76,28.94,55.00,11.55,0.07,0.271
-7.49,164.26,1990,177,22.18,29.44,53.66,11.57,0.06,0.071
-7.00,164.48,1990,177,22.18,29.44,52.01,11.60,0.05,0.066
-6.00,165.00,1990,177,22.18,29.44,48.65,11.66,0.05,0.198
-4.99,164.99,1990,178,30.64,29.64,46.75,11.72,0.10,0.207
-4.01,165.02,1990,178,30.64,29.64,47.29,11.77,0.09,0.204
-3.01,165.00,1990,178,33.28,29.74,47.13,11.83,0.09,0.232
-2.50,165.01,1990,178,33.28,29.74,46.71,11.86,0.09,0.317
-1.98,164.99,1990,179,26.39,29.74,44.79,11.89,0.06,0.225
-1.51,165.01,1990,179,28.46,29.94,40.58,11.91,0.06,0.153
-1.00,165.00,1990,179,28.46,29.94,37.91,11.94,0.07,0.237
-0.50,165.00,1990,179,28.46,29.94,35.03,11.97,0.06,0.297
-0.01,165.02,1990,179,28.46,29.94,35.13,12.00,0.05,0.149
0.59,164.94,1990,182,31.37,30.04,36.77,12.03,0.07,0.303
0.98,165.03,1990,182,31.37,30.04,38.41,12.05,0.08,0.448
1.48,165.00,1990,183,32.82,30.04,40.59,12.07,0.05,0.290
1.97,165.01,1990,183,32.92,29.94,42.32,12.10,0.05,0.264
2.50,165.00,1990,183,32.92,29.94,42.49,12.13,0.05,0.188
3.00,164.99,1990,183,32.92,29.94,41.62,12.15,0.04,0.224
4.00,164.99,1990,183,33.33,29.64,40.52,12.21,0.03,0.250
4.98,165.01,1990,183,33.33,29.64,38.93,12.25,0.04,0.190
6.00,165.00,1990,184,27.45,29.44,37.05,12.31,0.03,0.190
6.99,164.99,1990,184,27.45,29.44,36.90,12.36,0.05,0.192
8.01,164.99,1990,184,29.26,29.12,37.35,12.42,0.05,0.323
8.99,164.98,1990,185,25.71,29.14,39.35,12.47,0.05,0.303
10.01,164.99,1990,185,28.68,28.74,43.49,12.52,0.04,0.168
10.01,161.99,1990,185,30.86,29.14,40.09,12.52,0.03,0.118
10.00,158.99,1990,186,32.41,29.34,36.63,12.52,0.03,0.135
10.02,155.98,1990,186,28.71,29.44,32.09,12.52,0.03,0.253
10.01,153.00,1990,187,33.25,29.24,27.69,12.52,0.04,0.159
10.01,150.00,1990,187,31.66,29.34,25.04,12.52,0.03,0.369
10.01,147.00,1990,188,35.61,29.34,23.06,12.52,0.04,0.182
10.02,143.99,1990,188,35.24,29.47,23.50,12.52,0.03,0.198
10.01,141.50,1990,189,33.94,28.74,26.71,12.52,0.04,0.199
12.00,220.00,1992,223,38.99,28.64,37.90,12.39,0.07,0.371
12.00,220.00,1992,224,33.98,28.72,37.90,12.39,0.06,0.356
9.00,220.00,1992,227,34.20,28.74,40.89,12.29,0.09,0.276
9.00,220.00,1992,228,29.19,28.74,40.89,12.29,0.07,0.318
7.00,220.00,1992,230,29.07,28.54,48.63,12.23,0.09,0.247
5.00,220.00,1992,232,41.24,27.42,54.91,12.16,0.28,0.537
5.00,220.00,1992,232,41.24,27.42,54.91,12.16,0.18,0.454
5.00,220.00,1992,233,44.94,27.44,54.91,12.16,0.18,0.476
3.00,220.00,1992,235,47.44,26.44,45.15,12.10,0.23,0.603
2.00,220.00,1992,237,48.86,26.34,31.85,12.06,0.35,1.550
2.00,220.00,1992,237,48.86,26.34,31.85,12.06,0.45,1.603
2.00,220.00,1992,238,49.69,26.27,31.85,12.06,0.39,1.828
1.00,220.00,1992,240,47.26,25.24,22.96,12.03,0.29,1.115
0.00,220.00,1992,242,45.91,25.64,19.63,12.00,0.37,0.978
0.00,220.00,1992,243,42.36,25.64,19.63,12.00,0.26,0.800
-1.00,220.00,1992,245,40.88,25.64,20.42,11.99,0.22,0.817
-2.00,220.00,1992,247,43.20,26.37,24.96,11.99,0.22,1.013
-3.00,220.00,1992,248,47.26,26.27,25.98,11.98,0.28,1.183
-3.00,220.00,1992,250,48.21,26.07,25.98,11.98,0.27,0.877
-5.00,220.00,1992,252,37.46,26.07,43.61,11.97,0.22,0.835
-5.00,220.00,1992,253,36.81,26.12,43.61,11.97,0.23,0.876
-7.00,222.00,1992,255,35.53,26.92,62.49,11.95,0.15,0.594
-9.00,223.00,1992,255,32.53,27.34,69.69,11.94,0.14,0.528
-12.00,225.00,1992,257,40.32,26.54,78.17,11.92,0.14,0.356
-12.00,225.00,1992,258,40.32,26.62,78.17,11.92,0.13,0.385
-12.00,215.00,1992,270,36.30,27.54,82.68,11.92,0.11,0.350
-5.00,220.00,1992,273,45.74,26.84,43.61,11.97,0.15,0.763
-2.00,220.00,1992,275,40.25,26.47,25.59,12.04,0.21,0.695
0.00,220.00,1992,276,48.67,25.84,19.28,12.00,0.23,1.104
0.00,220.00,1992,277,46.78,25.84,19.28,12.00,0.23,1.006
0.00,220.00,1992,278,40.18,25.77,19.28,12.00,0.22,0.991
0.00,220.00,1992,279,47.36,25.74,19.28,12.00,0.25,0.829
0.00,220.00,1992,280,37.32,25.74,19.28,12.00,0.24,1.084
0.00,220.00,1992,281,44.24,25.74,19.28,12.00,0.31,0.794
0.00,220.00,1992,282,42.33,25.74,19.28,12.00,0.31,1.082
0.00,220.00,1992,283,47.77,25.74,19.28,12.00,0.41,1.149
0.00,220.00,1992,284,45.04,25.74,19.28,12.00,0.41,1.421
0.00,220.00,1992,285,48.21,25.74,19.28,12.00,0.46,1.186
0.00,220.00,1992,286,48.86,25.74,19.28,12.00,0.45,1.489
0.00,220.00,1992,287,47.33,25.74,19.28,12.00,0.43,1.067
0.00,220.00,1992,288,32.24,25.74,19.28,12.00,0.24,1.243
0.00,220.00,1992,289,37.28,25.67,19.28,12.00,0.23,1.144
0.00,220.00,1992,290,43.01,25.64,19.28,12.00,0.22,0.956
0.00,220.00,1992,291,46.25,25.64,19.28,12.00,0.26,0.867
0.00,220.00,1992,292,46.25,25.64,19.28,12.00,0.25,0.981
0.00,220.00,1992,293,48.60,25.57,19.28,12.00,0.25,0.975
0.00,220.00,1992,294,38.65,25.54,19.28,12.00,0.24,0.991
0.00,220.00,1992,295,32.12,25.62,19.28,12.00,0.24,0.914
12.00,220.00,1992,35,43.71,25.24,80.30,11.63,0.12,0.193
12.00,220.00,1992,35,43.71,25.24,80.30,11.63,0.10,0.397
9.00,220.00,1992,38,43.15,27.04,89.13,11.72,0.09,0.250
9.00,220.00,1992,38,43.15,27.04,89.13,11.72,0.08,0.330
7.00,220.00,1992,41,31.59,28.22,90.90,11.78,0.17,0.350
5.00,220.00,1992,43,31.69,28.84,77.54,11.85,0.19,0.500
5.00,220.00,1992,43,31.69,28.84,77.54,11.85,0.18,0.494
3.00,220.00,1992,46,30.93,28.64,66.67,11.91,0.24,0.591
3.00,220.00,1992,46,30.93,28.64,66.67,11.91,0.21,0.649
2.00,220.00,1992,48,27.09,28.54,62.94,11.94,0.25,0.856
2.00,220.00,1992,49,29.34,28.54,62.94,11.94,0.28,0.594
1.00,220.00,1992,51,29.80,28.74,53.25,11.97,0.21,0.829
1.00,220.00,1992,52,27.99,28.74,53.25,11.97,0.19,0.630
1.00,220.00,1992,52,27.99,28.74,53.25,11.97,0.25,0.325
0.00,220.00,1992,54,29.95,28.84,45.44,12.00,0.23,0.774
0.00,220.00,1992,55,41.46,28.92,45.44,12.00,0.25,0.702
-1.00,220.00,1992,58,32.78,28.84,48.30,12.03,0.25,1.018
-2.00,220.00,1992,61,24.65,28.67,42.26,12.01,0.13,0.682
-3.00,220.00,1992,62,31.11,28.57,41.32,12.01,0.15,0.914
-5.00,220.00,1992,64,31.30,28.34,36.97,12.02,0.17,0.705
-5.00,220.00,1992,64,31.30,28.34,36.97,12.02,0.16,0.724
-7.00,220.00,1992,66,32.89,28.72,36.59,12.03,0.15,0.767
-9.00,220.00,1992,66,30.64,28.84,39.84,12.04,0.15,0.893
-12.00,220.00,1992,68,26.53,29.12,47.09,12.05,0.11,0.401
-12.00,220.00,1992,68,26.53,29.12,47.09,12.05,0.09,0.459
-12.00,220.00,1992,69,29.92,29.14,47.09,12.05,0.12,0.296
-8.46,217.41,1992,79,37.03,29.57,40.33,12.03,0.15,0.156
-5.00,220.00,1992,80,42.21,29.14,36.97,12.02,0.15,0.457
-2.00,220.00,1992,82,29.77,29.04,42.26,12.01,0.11,0.609
0.00,220.00,1992,83,35.24,29.04,30.33,12.00,0.17,0.546
0.00,220.00,1992,84,34.49,29.04,30.33,12.00,0.20,0.660
0.00,220.00,1992,85,26.43,29.04,30.33,12.00,0.19,0.753
0.00,220.00,1992,86,32.24,29.04,30.33,12.00,0.17,0.748
0.00,220.00,1992,87,37.86,29.04,30.33,12.00,0.15,0.711
0.00,220.00,1992,88,29.70,29.04,30.33,12.00,0.17,0.773
0.00,220.00,1992,89,40.18,29.04,30.33,12.00,0.24,0.698
0.00,220.00,1992,90,27.48,29.04,30.33,12.00,0.21,0.909
0.00,220.00,1992,91,40.03,29.04,30.33,12.00,0.20,0.714
0.00,220.00,1992,92,31.59,29.04,13.41,12.00,0.20,0.544
0.00,220.00,1992,93,30.35,29.12,13.41,12.00,0.18,0.692
0.00,220.00,1992,94,30.93,29.14,13.41,12.00,0.17,0.892
0.00,220.00,1992,95,25.66,29.14,13.41,12.00,0.18,1.175
0.00,220.00,1992,96,31.47,29.22,13.41,12.00,0.21,0.982
0.00,220.00,1992,97,38.73,29.24,13.41,12.00,0.22,0.636
0.00,220.00,1992,98,37.25,29.32,13.41,12.00,0.25,0.737
0.00,220.00,1992,100,31.69,29.34,13.41,12.00,0.26,0.847
0.00,220.00,1992,101,34.71,29.34,13.41,12.00,0.27,0.649
5.00,220.00,1992,103,38.41,28.54,76.68,12.11,0.21,0.518
9.00,220.00,1992,105,38.77,27.24,98.47,12.21,0.12,0.322
10.00,249.94,1992,62,36.45,27.54,48.85,11.96,0.14,0.380
8.01,249.89,1992,62,32.60,27.67,41.22,11.97,0.26,0.671
6.01,250.00,1992,63,28.78,27.84,37.18,11.98,0.16,0.181
4.02,250.00,1992,64,31.66,27.92,35.72,11.98,0.15,0.484
3.00,250.00,1992,65,24.69,27.64,31.34,11.99,0.22,0.639
2.08,249.87,1992,65,24.69,27.64,22.99,11.99,0.27,1.221
1.01,249.98,1992,65,23.82,27.64,13.00,12.00,0.21,0.914
-0.05,249.95,1992,66,36.01,27.52,10.91,12.00,0.14,0.342
-1.03,250.01,1992,67,34.71,27.54,14.99,12.00,0.19,0.411
-2.01,249.96,1992,67,35.72,27.34,24.55,12.01,0.15,0.320
-3.00,250.00,1992,67,35.72,27.34,30.65,12.01,0.14,0.469
-4.00,249.98,1992,68,36.19,27.24,31.23,12.02,0.17,0.339
-4.99,249.86,1992,68,36.19,27.24,32.95,12.02,0.13,0.689
-8.00,250.00,1992,70,37.39,26.74,41.74,12.03,0.14,0.291
-7.98,234.96,1992,73,32.46,28.02,43.27,12.03,0.10,0.320
-5.99,234.97,1992,74,30.02,27.74,37.05,12.02,0.15,0.242
-5.04,235.03,1992,74,34.45,27.82,35.23,12.02,0.16,0.332
-4.00,234.98,1992,75,30.38,27.92,34.44,12.02,0.14,0.467
-3.01,234.98,1992,75,32.99,28.34,32.79,12.01,0.15,0.365
-1.99,235.04,1992,75,32.99,28.34,28.23,12.01,0.14,0.670
-0.99,235.06,1992,76,29.80,28.44,24.98,12.00,0.21,0.481
3.00,234.96,1992,78,33.94,28.42,37.89,11.99,0.20,0.444
4.01,234.98,1992,78,31.15,28.22,43.37,11.98,0.15,0.706
5.12,235.01,1992,79,31.95,28.24,59.11,11.98,0.23,0.847
6.01,235.00,1992,79,32.34,28.24,66.86,11.98,0.18,0.684
9.99,189.98,1992,95,38.87,26.47,94.15,12.24,0.08,0.192
8.00,189.96,1992,95,36.01,27.27,92.08,12.19,0.06,0.241
6.00,189.98,1992,96,34.15,27.67,78.68,12.14,0.15,0.257
4.01,189.99,1992,97,42.33,28.47,48.38,12.09,0.20,0.340
2.00,189.96,1992,97,41.92,29.34,37.40,12.05,0.14,1.133
1.00,189.96,1992,98,32.78,29.54,35.85,12.02,0.13,0.284
-0.04,189.87,1992,99,34.95,29.64,41.03,12.00,0.14,0.350
-1.00,190.00,1992,100,31.69,29.64,44.07,11.98,0.13,0.221
-2.06,189.90,1992,101,31.61,29.94,45.26,11.95,0.11,0.358
-4.01,189.99,1992,101,35.32,29.74,43.41,11.91,0.17,0.448
-6.00,189.97,1992,102,36.38,29.54,34.49,11.86,0.11,0.435
-8.01,189.97,1992,103,31.18,29.72,28.69,11.81,0.10,0.395
-10.02,190.00,1992,103,29.34,29.64,32.37,11.76,0.13,0.349
-10.01,219.99,1992,116,28.35,29.44,47.90,11.76,0.13,0.461
-7.01,219.98,1992,116,37.90,29.34,41.50,11.84,0.14,0.537
-6.00,219.99,1992,117,28.97,29.27,40.73,11.86,0.11,0.284
-5.01,219.99,1992,117,35.21,29.14,40.58,11.88,0.13,0.283
-4.00,220.00,1992,118,33.79,29.07,41.03,11.91,0.14,0.585
-2.01,219.97,1992,119,29.48,29.04,38.55,11.95,0.16,0.330
-1.00,220.00,1992,119,28.28,28.94,24.71,11.98,0.19,0.642
-0.02,219.95,1992,120,29.12,28.94,13.41,12.00,0.18,0.778
1.01,219.96,1992,121,27.16,28.84,16.02,12.02,0.19,0.242
2.00,219.91,1992,123,31.00,28.94,29.76,12.09,0.22,0.650
4.00,220.00,1992,123,28.64,28.74,47.74,12.19,0.20,0.991
4.97,219.99,1992,123,28.64,28.74,61.47,12.23,0.23,1.007
6.00,259.98,1992,124,33.65,29.74,24.51,12.27,0.21,0.796
8.00,219.98,1992,125,35.14,27.94,80.40,12.37,0.07,0.313
9.00,220.00,1992,125,35.14,27.94,80.57,12.41,0.11,0.502
9.93,219.90,1992,126,42.91,26.94,81.31,12.45,0.11,0.225
0.02,249.99,1992,133,25.85,28.72,11.38,12.00,0.21,0.475
10.00,220.00,1992,253,34.15,28.82,33.09,12.07,0.06,0.272
8.00,220.00,1992,254,39.74,28.72,33.16,12.05,0.06,0.214
6.00,220.00,1992,254,40.54,27.82,42.51,12.04,0.22,0.761
4.95,219.93,1992,255,42.98,26.99,33.70,12.03,0.15,0.850
3.98,220.00,1992,256,40.00,27.12,27.95,12.03,0.19,0.625
3.00,219.88,1992,256,42.86,26.72,25.69,12.02,0.19,0.437
2.00,220.00,1992,256,42.86,26.72,21.51,12.01,0.16,0.668
1.00,220.00,1992,257,46.20,26.54,16.25,12.01,0.18,0.718
0.05,219.97,1992,257,46.20,26.54,16.09,12.00,0.19,0.612
0.00,219.97,1992,258,47.94,26.24,16.09,12.00,0.33,1.070
-1.00,220.00,1992,259,49.29,26.32,20.42,11.99,0.19,0.609
-2.03,220.12,1992,259,47.94,26.42,24.96,11.99,0.15,0.495
-3.00,220.00,1992,260,41.53,26.44,25.98,11.98,0.14,0.419
-3.98,220.00,1992,260,38.73,26.64,30.15,11.97,0.31,0.634
-4.97,219.98,1992,260,38.73,26.64,43.61,11.97,0.17,0.487
-6.18,219.67,1992,261,38.07,27.04,56.52,11.96,0.14,0.570
-7.02,220.00,1992,261,38.07,27.04,62.46,11.95,0.17,0.613
-10.00,225.00,1992,262,31.25,27.04,74.63,11.93,0.12,0.540
-10.00,235.00,1992,264,35.75,26.64,75.07,11.93,0.13,0.371
-8.02,234.97,1992,265,42.04,26.44,68.91,11.95,0.15,0.558
-6.00,235.00,1992,266,39.60,25.74,54.58,11.96,0.13,0.744
-5.00,235.00,1992,267,41.78,25.54,39.85,11.97,0.14,0.712
-4.00,235.00,1992,267,41.78,25.54,24.82,11.97,0.12,0.734
-3.00,235.00,1992,267,45.74,25.04,19.38,11.98,0.13,0.679
-2.00,235.00,1992,268,48.96,25.04,15.07,11.99,0.16,0.524
-1.00,235.02,1992,269,47.51,23.94,12.91,11.99,0.20,0.448
0.02,235.03,1992,270,40.76,24.27,12.85,12.00,0.40,0.475
1.03,235.02,1992,271,39.71,24.17,18.13,12.01,0.19,0.425
2.00,235.00,1992,272,44.68,25.37,30.81,12.01,0.15,0.680
3.00,235.00,1992,272,44.68,25.37,37.09,12.02,0.24,0.615
4.00,235.00,1992,272,44.00,26.27,38.49,12.03,0.18,0.530
5.07,235.02,1992,273,46.25,26.17,40.86,12.03,0.20,0.475
6.00,235.00,1992,273,42.07,27.37,41.74,12.04,0.17,0.408
8.05,235.03,1992,274,33.47,27.84,31.30,12.05,0.08,0.278
9.00,235.02,1992,275,41.46,27.84,31.74,11.81,0.11,0.301
9.99,235.01,1992,276,45.19,27.74,29.45,11.79,0.15,0.498
10.03,250.08,1992,291,31.00,27.84,24.37,11.79,0.13,0.473
8.03,249.97,1992,291,30.93,27.82,30.03,11.83,0.10,0.423
8.00,250.00,1992,305,30.79,28.42,30.03,11.83,0.12,0.443
6.00,250.00,1992,305,35.46,27.64,40.83,11.87,0.14,0.357
4.95,250.10,1992,306,30.21,26.24,38.33,11.78,0.17,0.709
3.98,250.00,1992,306,30.21,26.24,30.40,11.82,0.19,0.653
2.03,249.97,1992,307,37.68,25.64,25.78,11.91,0.17,0.701
1.00,249.95,1992,308,44.17,23.77,15.98,11.95,0.20,0.475
0.23,249.92,1992,309,43.92,23.67,11.08,11.99,0.26,0.607
0.00,250.00,1992,309,43.92,22.24,10.26,12.00,0.32,0.453
